personID,status,time
ID 1,entered,1558106611.843495
ID 0,entered,1558106611.9171999
ID 1,entered,1558106611.917331
ID 0,entered,1558106611.986859
ID 1,entered,1558106611.9870331
ID 0,entered,1558106612.061862
ID 1,entered,1558106612.061994
ID 0,entered,1558106612.154302
ID 1,entered,1558106612.1555462
ID 0,entered,1558106612.248333
ID 1,entered,1558106612.248505
ID 0,entered,1558106612.333635
ID 1,entered,1558106612.333825
ID 0,entered,1558106612.422121
ID 1,entered,1558106612.422262
ID 0,entered,1558106612.502252
ID 1,entered,1558106612.502401
ID 0,entered,1558106612.5779881
ID 1,entered,1558106612.5782132
ID 0,entered,1558106612.653246
ID 1,entered,1558106612.653551
ID 0,entered,1558106612.7436109
ID 1,entered,1558106612.743775
ID 0,entered,1558106612.822241
ID 1,entered,1558106612.822447
ID 0,entered,1558106612.921705
ID 1,entered,1558106612.9218838
ID 0,entered,1558106613.001701
ID 1,entered,1558106613.001884
ID 0,entered,1558106613.084173
ID 1,entered,1558106613.084306
ID 0,entered,1558106613.170707
ID 1,entered,1558106613.170929
ID 0,entered,1558106613.2684429
ID 1,entered,1558106613.268658
ID 0,entered,1558106613.402878
ID 1,entered,1558106613.403857
ID 0,entered,1558106613.493262
ID 1,entered,1558106613.493394
ID 0,entered,1558106613.571131
ID 1,entered,1558106613.571319
ID 0,entered,1558106613.64132
ID 1,entered,1558106613.641458
ID 0,entered,1558106613.7073789
ID 1,entered,1558106613.707555
ID 0,entered,1558106613.796005
ID 1,entered,1558106613.796196
ID 0,entered,1558106613.876477
ID 1,entered,1558106613.876723
ID 0,entered,1558106613.952436
ID 1,entered,1558106613.952641
ID 0,entered,1558106614.032452
ID 1,entered,1558106614.032674
ID 0,entered,1558106614.119013
ID 0,entered,1558106614.223897
ID 0,entered,1558106614.30593
ID 0,entered,1558106614.3781278
ID 0,entered,1558106614.4502668
ID 0,entered,1558106614.509333
ID 0,entered,1558106614.589354
ID 0,entered,1558106614.7807932
ID 0,entered,1558106614.946469
ID 0,entered,1558106615.100856
ID 0,entered,1558106615.214478
ID 0,entered,1558106615.280378
ID 0,entered,1558106615.383592
ID 0,entered,1558106615.447974
ID 0,entered,1558106615.5306828
ID 0,entered,1558106615.6320472
ID 0,entered,1558106615.70665
ID 0,entered,1558106615.814246
ID 0,entered,1558106615.924298
ID 0,entered,1558106616.007361
ID 0,entered,1558106616.1065202
ID 0,entered,1558106616.1832309
ID 0,entered,1558106616.278322
ID 0,entered,1558106616.340364
ID 0,entered,1558106616.41346
ID 0,entered,1558106616.500184
ID 0,entered,1558106616.5729449
ID 0,entered,1558106616.649187
ID 0,entered,1558106616.725322
ID 0,entered,1558106616.791378
ID 0,entered,1558106616.877387
ID 0,entered,1558106617.0011609
ID 0,entered,1558106617.076566
ID 0,entered,1558106617.165199
ID 0,entered,1558106617.241122
ID 0,entered,1558106617.319079
ID 0,entered,1558106617.394073
ID 0,entered,1558106617.4671779
ID 0,entered,1558106617.5466628
ID 0,entered,1558106617.6330051
ID 0,entered,1558106617.701567
ID 0,entered,1558106617.769013
ID 0,entered,1558106617.840747
ID 0,entered,1558106617.921621
ID 0,entered,1558106618.0122712
ID 0,entered,1558106618.098229
ID 0,entered,1558106618.178171
ID 0,entered,1558106618.2801
ID 0,entered,1558106618.386985
ID 0,entered,1558106618.546544
ID 0,entered,1558106618.619647
ID 0,entered,1558106618.69312
ID 0,entered,1558106618.760997
ID 0,entered,1558106618.8601222
ID 0,entered,1558106618.98464
ID 0,entered,1558106619.094707
ID 0,entered,1558106619.200686
ID 0,entered,1558106619.3025331
ID 0,entered,1558106619.375804
ID 0,entered,1558106619.476228
ID 0,entered,1558106619.563987
ID 0,entered,1558106619.658813
ID 0,entered,1558106619.747913
ID 0,entered,1558106619.835871
ID 0,entered,1558106619.9075499
ID 0,entered,1558106619.985346
ID 0,entered,1558106620.081598
ID 0,entered,1558106620.194262
ID 0,entered,1558106620.3174489
ID 0,entered,1558106620.43161
ID 0,entered,1558106620.4995918
ID 0,entered,1558106620.583491
ID 0,entered,1558106620.6793852
ID 0,entered,1558106620.748445
ID 0,entered,1558106620.8200388
ID 0,entered,1558106620.909533
ID 0,entered,1558106620.975497
ID 0,entered,1558106621.0654368
ID 0,entered,1558106621.132127
ID 0,entered,1558106621.201731
ID 0,entered,1558106621.267852
ID 0,entered,1558106621.350707
ID 0,entered,1558106621.418706
ID 0,entered,1558106621.482336
ID 0,entered,1558106621.545228
ID 0,entered,1558106621.855227
ID 0,entered,1558106621.920854
ID 0,entered,1558106621.9903202
ID 0,entered,1558106622.10945
ID 0,entered,1558106622.218911
ID 0,entered,1558106622.28755
ID 0,entered,1558106622.375713
ID 0,entered,1558106622.4621599
ID 0,entered,1558106622.542519
ID 0,entered,1558106622.618871
ID 0,entered,1558106622.691319
ID 0,entered,1558106622.7716322
ID 0,entered,1558106622.8466291
ID 0,entered,1558106622.9226508
ID 0,entered,1558106622.9934201
ID 0,entered,1558106623.069118
ID 0,entered,1558106623.148253
ID 0,entered,1558106623.234355
ID 0,entered,1558106623.318947
ID 0,entered,1558106623.390947
ID 0,entered,1558106623.4562979
ID 0,entered,1558106623.523324
ID 0,entered,1558106623.609529
ID 0,entered,1558106623.725903
ID 0,entered,1558106623.806526
ID 0,entered,1558106623.883299
ID 0,entered,1558106623.9515882
ID 0,entered,1558106624.046229
ID 0,entered,1558106624.133573
ID 0,entered,1558106624.203619
ID 0,entered,1558106624.27855
ID 0,entered,1558106624.366845
ID 0,entered,1558106624.484437
ID 0,entered,1558106624.551539
ID 0,entered,1558106624.617012
ID 0,entered,1558106624.683539
ID 0,entered,1558106624.763485
ID 0,entered,1558106624.8455548
ID 0,entered,1558106624.9407082
ID 0,entered,1558106625.015743
ID 0,entered,1558106625.086015
ID 0,entered,1558106625.1789062
ID 0,entered,1558106625.259726
ID 0,entered,1558106625.329464
ID 0,entered,1558106625.413976
ID 0,entered,1558106625.487444
ID 0,entered,1558106625.5548968
ID 0,entered,1558106625.640811
ID 0,entered,1558106625.7428532
ID 0,entered,1558106625.8335931
ID 0,entered,1558106625.910207
ID 0,entered,1558106626.004082
ID 0,entered,1558106626.0819972
ID 0,entered,1558106626.142781
ID 0,entered,1558106626.216255
ID 0,entered,1558106626.299495
ID 0,entered,1558106626.3777852
ID 0,entered,1558106626.460097
ID 0,entered,1558106626.553247
ID 0,entered,1558106626.621143
ID 0,entered,1558106626.692101
ID 0,entered,1558106626.771015
ID 0,entered,1558106626.8489
ID 0,entered,1558106626.918045
ID 0,entered,1558106626.9830122
ID 0,entered,1558106627.0487812
ID 0,entered,1558106627.123774
ID 0,entered,1558106627.1864908
ID 0,entered,1558106627.265562
ID 0,entered,1558106627.3516579
ID 0,entered,1558106627.4468648
ID 0,entered,1558106627.5217102
ID 0,entered,1558106627.598607
ID 0,entered,1558106627.6625128
ID 0,entered,1558106627.7431931
ID 0,entered,1558106627.815447
ID 0,entered,1558106627.913009
ID 0,entered,1558106628.0003421
ID 0,entered,1558106628.074838
ID 0,entered,1558106628.154088
ID 0,entered,1558106628.237817
ID 0,entered,1558106628.315022
ID 0,entered,1558106628.387267
ID 0,entered,1558106628.4554071
ID 0,entered,1558106628.532104
ID 0,entered,1558106628.605342
ID 0,entered,1558106628.6892018
ID 0,entered,1558106628.759595
ID 0,entered,1558106628.83631
ID 0,entered,1558106628.90898
ID 0,entered,1558106628.980767
ID 0,entered,1558106629.092436
ID 0,entered,1558106629.1630368
ID 0,entered,1558106629.230418
ID 0,entered,1558106629.301795
ID 0,entered,1558106629.386135
ID 0,entered,1558106629.47513
ID 0,entered,1558106629.585706
ID 0,entered,1558106629.701002
ID 0,entered,1558106629.788338
ID 0,entered,1558106629.859641
ID 0,entered,1558106629.9451468
ID 0,entered,1558106630.02142
ID 0,entered,1558106630.109683
ID 0,entered,1558106630.198051
ID 0,entered,1558106630.2609751
ID 0,entered,1558106630.328883
ID 0,entered,1558106630.458653
ID 0,entered,1558106630.541951
ID 0,entered,1558106630.61946
ID 0,entered,1558106630.6952388
ID 0,entered,1558106630.765594
ID 0,entered,1558106630.860409
ID 0,entered,1558106630.919456
ID 0,entered,1558106630.984534
ID 0,entered,1558106631.071518
ID 0,entered,1558106631.164306
ID 0,entered,1558106631.232217
ID 0,entered,1558106631.30017
ID 0,entered,1558106631.38254
ID 0,entered,1558106631.45017
ID 0,entered,1558106631.5397289
ID 0,entered,1558106631.612415
ID 0,entered,1558106631.6950982
ID 0,entered,1558106631.7769659
ID 0,entered,1558106631.855647
ID 0,entered,1558106631.928982
ID 0,entered,1558106632.0267258
ID 0,entered,1558106632.1258
ID 0,entered,1558106632.25551
ID 0,entered,1558106632.333228
ID 0,entered,1558106632.428488
ID 0,entered,1558106632.491682
ID 0,entered,1558106632.557725
ID 0,entered,1558106632.634387
ID 0,entered,1558106632.717335
ID 0,entered,1558106632.791013
ID 0,entered,1558106632.880106
ID 0,entered,1558106632.950965
ID 0,entered,1558106633.053449
ID 0,entered,1558106633.136502
ID 0,entered,1558106633.234219
ID 0,entered,1558106633.346595
ID 0,entered,1558106633.418377
ID 0,entered,1558106633.501875
ID 0,entered,1558106633.5672379
ID 0,entered,1558106633.647466
ID 0,entered,1558106633.726441
ID 0,entered,1558106633.800711
ID 0,entered,1558106633.899471
ID 0,entered,1558106634.025959
ID 0,entered,1558106634.144189
ID 0,entered,1558106634.232037
ID 0,entered,1558106634.313014
ID 0,entered,1558106634.388777
ID 0,entered,1558106634.492998
ID 0,entered,1558106634.567439
ID 0,entered,1558106634.648278
ID 0,entered,1558106634.749632
ID 0,entered,1558106634.841627
ID 0,entered,1558106634.926007
ID 0,entered,1558106635.0016792
ID 0,entered,1558106635.088066
ID 0,entered,1558106635.160372
ID 0,entered,1558106635.255542
ID 0,entered,1558106635.3443499
ID 0,entered,1558106635.413089
ID 0,entered,1558106635.4823291
ID 0,entered,1558106635.567884
ID 0,entered,1558106635.665858
ID 0,entered,1558106635.755278
ID 0,entered,1558106635.831648
ID 0,entered,1558106635.910636
ID 0,entered,1558106636.0031989
ID 0,entered,1558106636.100735
ID 0,entered,1558106636.1730611
ID 0,entered,1558106636.2495759
ID 0,entered,1558106636.330549
ID 0,entered,1558106636.423957
ID 0,entered,1558106636.5061388
ID 0,entered,1558106636.578468
ID 0,entered,1558106636.654413
ID 0,entered,1558106636.731199
ID 0,entered,1558106636.835815
ID 0,entered,1558106636.9267159
ID 0,entered,1558106637.004812
ID 0,entered,1558106637.1051478
ID 0,entered,1558106637.171118
ID 0,entered,1558106637.252751
ID 0,entered,1558106637.3241699
ID 0,entered,1558106637.399925
ID 0,entered,1558106637.467556
ID 0,entered,1558106637.543351
ID 0,entered,1558106637.611733
ID 0,entered,1558106637.6993868
ID 0,entered,1558106637.786016
ID 0,entered,1558106637.8590841
ID 0,entered,1558106637.9377038
ID 0,entered,1558106638.00451
ID 0,entered,1558106638.0851681
ID 0,entered,1558106638.2203279
ID 0,entered,1558106638.332612
ID 0,entered,1558106638.4523299
ID 0,entered,1558106638.538574
ID 0,entered,1558106638.605867
